Name,Category,Latitude,Longitude,Area,Distance to center
LPP postajališče Koseze,Bus Station,46.07549922871872,14.476742761701074,72,3511.2959524709136
LPP postajališče Čebelarska,Bus Station,46.076872591583616,14.473329034194697,72,3799.931971271878
LPP postajalisce Trznica Koseze,Bus Station,46.074750093647616,14.47525779889514,72,3524.962926261197
LPP postajalisce Zgornja Siska,Bus Station,46.070207390966004,14.480137418792086,72,2898.4850525521974
LPP postajališče Kino Šiška,Bus Station,46.06975676220135,14.489419206713666,73,2413.503122466686
LPP postajališče Šišenska,Bus Station,46.07364020534935,14.485703329736266,73,2932.007194907441
LPP postajališče Remiza,Bus Station,46.07432899138581,14.485314153486517,73,3012.777346538728
LPP postajališče Slovenija avto,Bus Station,46.073038002402754,14.486511795507381,73,2841.978609411882
LPP postajališče Avtomontaža,Bus Station,46.076873141330644,14.482399882496814,73,3372.4833768778703
LPP postajalisce Kneza Koclja,Bus Station,46.07123995809349,14.4806516255306,73,2955.626474011053
LPP postajališče Garaža,Bus Station,46.077815326411724,14.488778114318848,73,3226.663624759904
LPP postajališče Mostovna,Bus Station,46.073532112356695,14.499242476096047,74,2515.7266329783456
LPP postajališče Vodovodna,Bus Station,46.07536999797959,14.504969411218948,74,2664.9131820456205
LPP Postajališče Brinje,Bus Station,46.076656479260244,14.505904837196882,74,2806.52230213532
LPP postajališče Toplarna,Bus Station,46.07613545476678,14.500223986077232,74,2785.867600323681
LPP Postajalisce Podmilscakova,Bus Stop,46.069412,14.503604000000001,74,2010.507423164656
LPP linija 22,Bus Line,46.06948876173925,14.507525762691545,75,2012.8150107364404
LPP postajališče AMZS,Bus Line,46.077695950699905,14.512146971449456,75,2959.2943677017547
LPP postajališče Mercator,Bus Station,46.074328098843225,14.511245795954135,75,2578.651253585463
LPP postajališče Puhova,Bus Station,46.076684071951675,14.519634246826172,76,2998.4758762565602
LPP postajališče Kardeljeva ploščad,Bus Line,46.071917,14.519293,76,2497.935698894546
Lpp Postajalisce Boziceva,Bus Stop,46.075718,14.520789,76,2931.5851947492347
LPP Postajališče Žito,Bus Station,46.06990335071729,14.545195555252366,78,3657.874122339059
LPP postajališče Žito,Bus Station,46.06980740289176,14.546028729308796,78,3705.4801178016914
LPP postajališče Dravlje,Bus Station,46.08406835317607,14.477345815869132,82,4257.592876729295
