Name,Category,Latitude,Longitude,Area,Distance to center
Restavracija Rezka,Diner,46.06744621618471,14.540171737601066,67,3182.901091242004
Škrnic'lj,Buffet,46.063528712616005,14.54473116859983,67,3279.268418316613
Cafe City,Café,46.06833874203067,14.540720483745856,67,3274.146550798964
Kebab BTC,Fast Food Restaurant,46.063829999999996,14.544502,67,3277.0703964452423
"Mesni čudež, mesnica Čižman",Burger Joint,46.06145095825195,14.543164253234865,67,3078.086576077208
Bollywood,Indian Restaurant,46.06394,14.544335,67,3270.5414534252004
Kot doma,Diner,46.06385,14.544661999999999,67,3289.2366938099644
Chemo Bar,Café,46.067283153533936,14.544857740402222,67,3479.9859495296087
Tvojih 5 Minut,Sandwich Place,46.06261271912782,14.539508747152588,67,2869.947436588877
Konoba Valentin,Fish & Chips Shop,46.064555,14.544428,67,3306.676273557733
Si.mobil cafeteria 2nd floor,Cafeteria,46.06811,14.54186,67,3332.458070644183
smoothe,Juice Bar,46.06820772376787,14.54358791610791,67,3450.1637681939355
Pars,Persian Restaurant,46.063809,14.544669,67,3287.815895947982
Antonov Lounge Bar,Lounge,46.063128991855876,14.544054857666588,67,3213.3662060330357
Slascicarna Galerija Grad,Dessert Shop,46.06204392376605,14.544255972528406,67,3180.854921350935
"Vitacare, BIO market",Vegetarian / Vegan Restaurant,46.066748,14.542298,67,3279.483177836137
Restavracija City,Mediterranean Restaurant,46.068269599818976,14.540682130321649,67,3267.3051468896556
Gostilnica Magnum,Bistro,46.06102482702609,14.542116338862051,67,2985.38337742473
Minicity Kavarnica & Slaščičarnica,Café,46.066656,14.542352,67,3277.755756271291
Cojzla,Gluten-free Restaurant,46.063887,14.544538000000001,67,3282.26814796157
Pars - Okus Orienta,Persian Restaurant,46.063619,14.544495999999999,67,3266.8405027586628
kavarna in slaščičarna Grad,Café,46.061834000000005,14.544232999999998,67,3170.606718983191
S Caffe,Café,46.06151317464408,14.542846317686234,67,3057.703623692363
Dino pek,Bakery,46.06267547607422,14.544426918029785,67,3219.775349440116
Casanostra,Italian Restaurant,46.06571792206671,14.532247205756882,67,2573.9426504462303
Okrepcevalnica Kristan,Bakery,46.0643,14.544297,67,3285.1293127141817
Rival,Fish & Chips Shop,46.065246480956716,14.544474461598409,67,3344.531196960217
Brajda,Gastropub,46.065346063191654,14.543904972672024,67,3310.6258606229467
Rival Trade Delikatesa,Seafood Restaurant,46.06455595851666,14.54446844017525,67,3309.530749298808
Tutto Capsule,Coffee Shop,46.066649,14.543013,67,3321.2439951266088
Spar to Go,Food Court,46.065346021725176,14.543454326756134,67,3279.846685109997
Kofi plac,Coffee Shop,46.064902829005156,14.543969908604696,67,3292.3411106327812
Pekarna Zelena jama,Bakery,46.06187451787852,14.532476513047948,67,2349.692096877885
Shopping Center Citypark,Shopping Mall,46.067632014734286,14.546188478739195,68,3588.442216047857
Odprta kuhna BTC,Food Stand,46.063179999999996,14.545003,68,3282.824724273367
Restavracija Interspar,Restaurant,46.068425,14.546204000000001,68,3634.544329524757
Argentino,Steakhouse,46.06190601110849,14.545682443162992,68,3278.104873684677
Lars & Sven Burgers (Citypark),Burger Joint,46.06827,14.546312,68,3632.7677960463375
Slaščičarna Zvezda,Dessert Shop,46.064769766622895,14.546410754318902,68,3455.1656502726155
Top dunaj'c,BBQ Joint,46.063268,14.544970999999999,68,3284.4654701439204
D'burger,Burger Joint,46.067173,14.553167000000002,68,4042.000205105623
Mojster Caffe,Café,46.06479039820601,14.5466818488641,68,3475.0986751436835
Burger King,Fast Food Restaurant,46.0681261513969,14.54582660156476,68,3592.351454518129
Kitajska restavracija Han,Chinese Restaurant,46.06833372298686,14.54598004419888,68,3614.468564708589
CITYCafe,Café,46.066973154519125,14.546627681960544,68,3581.938836325791
Coffeeshop Company,Coffee Shop,46.068476126189935,14.545872560671024,68,3615.6466765871546
Pilea,Coffee Shop,46.06858,14.545964000000001,68,3627.7309639857103
Balkan Express,BBQ Joint,46.068347646528274,14.546032217254696,68,3618.721004280763
Argentino caffe club,Café,46.061985,14.545568,68,3272.9719852908534
Cafe Cubano,Cuban Restaurant,46.065653928585554,14.549237989776255,68,3694.9240834614543
Cafe Salomon,Café,46.067436,14.545273000000002,68,3516.2930427502783
Ošterija pri Oljki,Mediterranean Restaurant,46.06832117350334,14.545933133475033,68,3610.6434282738733
Španska vas,Tapas Restaurant,46.062701489655,14.54524039490934,68,3278.964104405545
llaollao,Frozen Yogurt Shop,46.067281822906615,14.546365818397375,68,3580.982332909811
Kavarna Pod Vodo,Café,46.06834147519071,14.546106045155046,68,3623.244483661216
Radisson BLU breakfast Bar,Breakfast Spot,46.0639856382309,14.547700881958008,68,3509.9666452832753
Roma,Pizza Place,46.06347,14.545008,68,3296.1521633022944
Tajska restavracija,Thai Restaurant,46.06839245971214,14.54588770866394,68,3611.7767538619855
Nespresso,Coffee Shop,46.067591,14.54672,68,3621.793821290752
Kava bar Iliada,Café,46.06254143438854,14.545211791992188,68,3270.1494441941772
City caffe,Café,46.06583370997282,14.54658669757391,68,3519.714351277349
Macdonald’s,Fast Food Restaurant,46.066978999999996,14.549651999999998,68,3788.835263331024
Restavracija Puccini,Italian Restaurant,46.065582943959726,14.549363283857298,68,3700.3217297283973
Fresh Time,Bubble Tea Shop,46.06558783664954,14.549201139412876,68,3689.2050895541606
Bar Pr' Mici,Coffee Shop,46.06726710865461,14.54604308508899,68,3558.462205728699
Hallo Kitajc,Chinese Restaurant,46.068283,14.545886,68,3605.321673033439
City Kebab,Fast Food Restaurant,46.064918518066406,14.552031517028807,68,3858.816874093092
Moj Fit Cafe,Café,46.064741425943524,14.552754904298814,68,3902.929673134627
Bar Na Vrtu,Bar,46.06484768240064,14.552138061759644,68,3863.3635553708973
Okrepčevalnica Šmartinska,Café,46.06317,14.54809,68,3502.789028862988
Pirates bar,Café,46.061339378356934,14.548092484474182,68,3432.26862649487
Smoothie Bar,Juice Bar,46.06696537114434,14.546553531026314,68,3576.497606480533
Kitajska restavracija Zlati zmaj,Chinese Restaurant,46.0631518349476,14.547601400105034,68,3466.9805115570534
Happy End Café,Café,46.06564212484008,14.54922447554754,68,3693.4173440561694
Kitajska hiša,Chinese Restaurant,46.06824515970498,14.545908922746866,68,3604.6518986838673
Plaza Restaurant,Restaurant,46.066154,14.5510845,68,3847.846024107716
Pizzeria in gostilna Breza,Pizza Place,46.06264105416276,14.563456317263329,69,4611.037260718523
Feniks caffe & bistro,Bistro,46.06247507226087,14.566370103285667,69,4823.74716341276
Restavracija Šumi,Diner,46.06780280563202,14.558441215346866,69,4441.560735757464
Pizzerija in restavraciya Promenada,Italian Restaurant,46.064977373309524,14.558121134594321,69,4299.09761614545
Restavracija Antaro,Diner,46.06287073985752,14.560164814037751,69,4373.750700885628
Caffee Antaro,Café,46.067245,14.558398,69,4413.435443677765
Gostilnica in pizzeria Perla,Café,46.06292164354968,14.558415096436914,69,4246.107741946537
Pizzeria Etna,Pizza Place,46.07322853719966,14.450137803179045,70,4962.890262500854
Stara pekarna,Bakery,46.07656938473004,14.466474735727598,71,4149.734447323961
Kavarna in slaščičarna Kresnička,Dessert Shop,46.06944420701439,14.473675447673655,72,3211.336241903205
Maru,Japanese Restaurant,46.07127793176525,14.477926654103605,72,3103.074141310944
Acapulco Bar,Bar,46.07110749725504,14.47819509696424,72,3075.002705210705
Pekarna Domači kruhek,Bakery,46.0755216241776,14.476731972720568,72,3513.7342064594927
Okrepčevalnica Rudi,Restaurant,46.07604400981327,14.47375774383545,72,3709.3919828338658
Fast 5,Food Truck,46.07436258671205,14.475657004068417,72,3472.3615421335603
